name,brand,notes,category,longevity,projection,type
Sauvage,Dior,bergamot pepper ambroxan,fresh spicy,8,strong,designer
Bleu de Chanel,Chanel,lemon incense sandalwood,woody fresh,7,moderate,designer
Eros,Versace,mint vanilla tonka,sweet,9,strong,designer
Acqua di Gio,Armani,marine citrus jasmine,fresh aquatic,6,moderate,designer
La Nuit de L'Homme,YSL,cardamom lavender cedar,spicy warm,7,soft,designer
Aventus,Creed,pineapple birch musk,fruity smoky,10,strong,niche
Baccarat Rouge 540,MFK,saffron amber woody,sweet,10,strong,niche
Layton,Parfums de Marly,apple vanilla spice,warm sweet,9,strong,niche
Oud for Glory,Lattafa,oud amber spice,oud,9,strong,arabic
Asad,Lattafa,vanilla pepper amber,spicy sweet,8,strong,arabic
Club de Nuit Intense,Armaf,lemon smoke musk,fruity smoky,8,strong,arabic
Spicebomb,Victor&Rolf,cinnamon tobacco spice,warm spicy,9,strong,designer
1 Million,Paco Rabanne,cinnamon leather amber,sweet spicy,9,strong,designer
Invictus,Paco Rabanne,grapefruit marine amber,fresh sweet,7,strong,designer
Dylan Blue,Versace,bergamot incense musk,fresh woody,7,moderate,designer
Hawas,Rasasi,apple cinnamon musk,sweet fresh,8,strong,arabic
9PM,Afnan,apple vanilla tonka,sweet,9,strong,arabic
Khamrah,Lattafa,cinnamon dates vanilla,gourmand,10,strong,arabic
Oud Satin Mood,MFK,rose oud vanilla,floral oud,10,strong,niche
Reflection Man,Amouage,jasmine sandalwood neroli,floral woody,9,moderate,niche
Interlude Man,Amouage,oregano incense amber,smoky spicy,10,strong,niche
Naxos,Xerjoff,honey tobacco lavender,sweet tobacco,10,strong,niche
Torino21,Xerjoff,lemon mint basil,fresh citrus,7,moderate,niche
Herod,Parfums de Marly,tobacco vanilla cinnamon,warm sweet,9,strong,niche
Carlisle,Parfums de Marly,apple nutmeg vanilla,spicy sweet,10,strong,niche
Pegasus,Parfums de Marly,almond vanilla heliotrope,sweet,8,strong,niche
Green Irish Tweed,Creed,lemon verbena violet,fresh green,7,moderate,niche
Silver Mountain Water,Creed,tea blackcurrant musk,fresh aquatic,7,moderate,niche
Oud Wood,Tom Ford,oud vanilla spice,woody oud,8,moderate,designer
Tobacco Vanille,Tom Ford,tobacco vanilla cocoa,warm sweet,10,strong,designer
Black Orchid,Tom Ford,truffle chocolate patchouli,earthy sweet,9,strong,designer
Ombre Leather,Tom Ford,leather jasmine amber,leather,8,strong,designer
Noir Extreme,Tom Ford,cardamom vanilla amber,warm sweet,9,strong,designer
Tuscan Leather,Tom Ford,leather raspberry saffron,leather,10,strong,niche
Arabians Tonka,Montale,oud tonka sugar,oud sweet,10,strong,niche
Red Tobacco,Mancera,tobacco cinnamon oud,spicy tobacco,10,strong,niche
Cedrat Boise,Mancera,lemon blackcurrant vanilla,fresh fruity,8,strong,niche
Instant Crush,Mancera,saffron amber vanilla,sweet,9,strong,niche
Roses Vanille,Mancera,rose vanilla sugar,floral sweet,9,strong,niche
Lemon Mint,Mancera,lemon mint green,fresh,7,moderate,niche
Intense Cafe,Montale,coffee rose vanilla,gourmand,9,strong,niche
Dark Aoud,Montale,oud wood musk,woody oud,9,strong,niche
Pure Havane,Mugler,tobacco honey vanilla,warm sweet,9,strong,designer
Pure Malt,Mugler,whiskey malt vanilla,boozy sweet,8,strong,designer
Ultra Male,JPG,pear vanilla cinnamon,sweet,9,strong,designer
Le Male,JPG,lavender vanilla mint,fresh sweet,8,moderate,designer
Scandal,JPG,honey caramel patchouli,sweet,9,strong,designer
Layton Exclusif,Parfums de Marly,oud vanilla spice,warm spicy,10,strong,niche
Percival,Parfums de Marly,bergamot lavender musk,fresh,7,moderate,niche
Galloway,Parfums de Marly,citrus pepper musk,fresh spicy,7,moderate,niche
Delina,Parfums de Marly,rose lychee vanilla,floral sweet,8,moderate,niche
Delina Exclusif,Parfums de Marly,rose oud vanilla,floral oud,9,strong,niche
Ani,Nishane,vanilla ginger citrus,warm sweet,10,strong,niche
Hacivat,Nishane,pineapple oakmoss citrus,fruity fresh,9,strong,niche
Fan Your Flames,Nishane,coconut rum tobacco,boozy sweet,10,strong,niche
Wulong Cha,Nishane,tea citrus fig,fresh,7,moderate,niche
Hundred Silent Ways,Nishane,vanilla peach florals,sweet floral,9,strong,niche
Sillage,Armaf,lemon rose musk,fresh floral,7,moderate,arabic
Milestone,Armaf,marine salt musk,fresh aquatic,7,moderate,arabic
Tres Nuit,Armaf,lemon violet musk,fresh green,7,moderate,arabic
Rare Carbon,Afnan,leather oud spice,leather,9,strong,arabic
Supremacy Not Only Intense,Afnan,blackcurrant oud amber,fruity oud,9,strong,arabic
Supremacy Incense,Afnan,incense smoke amber,smoky,10,strong,arabic
Amber Oud Gold,Al Haramain,melon vanilla amber,sweet fruity,9,strong,arabic
Amber Oud Rouge,Al Haramain,saffron amber woody,sweet,10,strong,arabic
